Saida,Epoca,loss
1,0,0.296555
1,100,0.252731
1,200,0.179925
1,300,0.279170
1,400,0.229047
1,500,0.292864
1,600,0.147070
1,700,0.327765
1,800,0.234662
1,900,0.254045
1,1000,0.225255
1,1100,0.264165
1,1200,0.207663
1,1300,0.285802
1,1400,0.267977
1,1500,0.301600
1,1600,0.210591
1,1700,0.290748
1,1800,0.242229
1,1900,0.270494
1,2000,0.309372
1,2100,0.220122
1,2200,0.226801
1,2300,0.297865
1,2400,0.214715
1,2500,0.245418
1,2600,0.200423
1,2700,0.303681
1,2800,0.252581
1,2900,0.268164
1,3000,0.237249
1,3100,0.256558
1,3200,0.233796
1,3300,0.236857
1,3400,0.198105
1,3500,0.204922
1,3600,0.217141
1,3700,0.244099
1,3800,0.217089
1,3900,0.222237
1,4000,0.233767
1,4100,0.234708
1,4200,0.312548
1,4300,0.245861
1,4400,0.221213
1,4500,0.195213
1,4600,0.211751
1,4700,0.202444
1,4800,0.258304
1,4900,0.302688
1,5000,0.332922
1,5100,0.192079
1,5200,0.206046
1,5300,0.115365
1,5400,0.266735
1,5500,0.216780
1,5600,0.266631
1,5700,0.346103
1,5800,0.199875
1,5900,0.299631
1,6000,0.248497
1,6100,0.105570
1,6200,0.171552
1,6300,0.173284
1,6400,0.343950
1,6500,0.334032
1,6600,0.149626
1,6700,0.110868
1,6800,0.195559
1,6900,0.428273
1,7000,0.186875
1,7100,0.387522
1,7200,0.080016
1,7300,0.078103
1,7400,0.107977
1,7500,0.099004
1,7600,0.215669
1,7700,0.045179
1,7800,0.108749
1,7900,0.083924
1,8000,0.121427
1,8100,0.221350
1,8200,0.179194
1,8300,0.163381
1,8400,0.151285
1,8500,0.039787
1,8600,0.178054
1,8700,0.044590
1,8800,0.306678
1,8900,0.145100
1,9000,0.154841
1,9100,0.238234
1,9200,0.052803
1,9300,0.048427
1,9400,0.089820
1,9500,0.058212
1,9600,0.040368
1,9700,0.143309
1,9800,0.044860
1,9900,0.092055
1,10000,0.285726
1,10100,0.199242
1,10200,0.029790
1,10300,0.097229
1,10400,0.040690
1,10500,0.102634
1,10600,0.048926
1,10700,0.050456
1,10800,0.033131
1,10900,0.040234
1,11000,0.066601
1,11100,0.035712
1,11200,0.049468
1,11300,0.096689
1,11400,0.088933
1,11500,0.056699
1,11600,0.039423
1,11700,0.057972
1,11800,0.069926
1,11900,0.025091
1,12000,0.024821
1,12100,0.019304
1,12200,0.033580
1,12300,0.038777
1,12400,0.026954
1,12500,0.019377
1,12600,0.016325
1,12700,0.053072
1,12800,0.017137
1,12900,0.016465
1,13000,0.031458
1,13100,0.020578
1,13200,0.029287
1,13300,0.018769
1,13400,0.016719
1,13500,0.012409
1,13600,0.015221
1,13700,0.024627
1,13800,0.015259
1,13900,0.015616
1,14000,0.014971
1,14100,0.014185
1,14200,0.021307
1,14300,0.013959
1,14400,0.012668
1,14500,0.011295
1,14600,0.011490
1,14700,0.009166
1,14800,0.012168
1,14900,0.015410
1,15000,0.015612
1,15100,0.009280
1,15200,0.008531
1,15300,0.007414
1,15400,0.010521
1,15500,0.011523
1,15600,0.009505
1,15700,0.010541
1,15800,0.006360
1,15900,0.011301
1,16000,0.008482
1,16100,0.005698
1,16200,0.006984
1,16300,0.006195
1,16400,0.011299
1,16500,0.010653
1,16600,0.005719
1,16700,0.005232
1,16800,0.006317
1,16900,0.010486
1,17000,0.006152
1,17100,0.009652
1,17200,0.004394
1,17300,0.004334
1,17400,0.004364
1,17500,0.004365
1,17600,0.005877
1,17700,0.003892
1,17800,0.005326
1,17900,0.004085
1,18000,0.005050
1,18100,0.005482
1,18200,0.005530
1,18300,0.005114
1,18400,0.005031
1,18500,0.003752
1,18600,0.005093
1,18700,0.003664
1,18800,0.006191
1,18900,0.004687
1,19000,0.004716
1,19100,0.005539
1,19200,0.003310
1,19300,0.003198
1,19400,0.004374
1,19500,0.003357
1,19600,0.003302
1,19700,0.003978
1,19800,0.003208
1,19900,0.003979
